type,latitude,longitude,altitude
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.00
T,40.0073,-105.2619,1653.00
T,40.0073,-105.2619,1653.00
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1652.90
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.00
T,40.0073,-105.2619,1652.80
T,40.0073,-105.2619,1652.80
T,40.0073,-105.2619,1652.60
T,40.0073,-105.2619,1652.50
T,40.0073,-105.2619,1652.60
T,40.0073,-105.2619,1652.60
T,40.0073,-105.2619,1652.80
T,40.0073,-105.2619,1652.90
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.60
T,40.0073,-105.2619,1653.70
T,40.0073,-105.2619,1653.80
T,40.0073,-105.2619,1653.90
T,40.0073,-105.2619,1653.90
T,40.0073,-105.2619,1653.90
T,40.0073,-105.2619,1653.90
T,40.0073,-105.2619,1653.90
T,40.0073,-105.2620,1653.90
T,40.0073,-105.2620,1653.90
T,40.0073,-105.2620,1654.00
T,40.0073,-105.2620,1654.00
T,40.0073,-105.2620,1654.10
T,40.0073,-105.2620,1654.20
T,40.0073,-105.2620,1654.50
T,40.0073,-105.2620,1654.70
T,40.0073,-105.2620,1654.70
T,40.0073,-105.2620,1654.80
T,40.0073,-105.2620,1654.80
T,40.0073,-105.2620,1654.80
T,40.0073,-105.2620,1654.80
